,cluster
sample_1,1
sample_2,1
sample_3,1
sample_4,1
sample_5,1
sample_6,1
sample_7,1
sample_8,1
sample_9,1
sample_10,1
sample_11,1
sample_12,1
sample_13,1
sample_14,1
sample_15,1
sample_16,1
sample_17,1
sample_18,1
sample_19,1
sample_20,1
sample_21,1
sample_22,1
sample_23,1
sample_24,1
sample_25,1
sample_26,1
sample_27,1
sample_28,1
sample_29,1
sample_30,1
sample_31,1
sample_32,1
sample_33,1
sample_34,1
sample_35,1
sample_36,1
sample_37,1
sample_38,1
sample_39,1
sample_40,1
sample_41,1
sample_42,1
sample_43,1
sample_44,1
sample_45,1
sample_46,1
sample_47,1
sample_48,1
sample_49,1
sample_50,1
sample_51,1
sample_52,1
sample_53,1
sample_54,1
sample_55,1
sample_56,1
sample_57,1
sample_58,1
sample_59,1
sample_60,1
sample_61,1
sample_62,1
sample_63,1
sample_64,1
sample_65,1
sample_66,1
sample_67,1
sample_68,1
sample_69,1
sample_70,1
sample_71,1
sample_72,1
sample_73,1
sample_74,1
sample_75,1
sample_76,1
sample_77,1
sample_78,1
sample_79,1
sample_80,1
sample_81,1
sample_82,1
sample_83,1
sample_84,1
sample_85,1
sample_86,1
sample_87,1
sample_88,1
sample_89,1
sample_90,1
sample_91,1
sample_92,1
sample_93,1
sample_94,1
sample_95,1
sample_96,1
sample_97,1
sample_98,1
sample_99,1
sample_100,1
sample_101,1
sample_102,1
sample_103,1
sample_104,1
sample_105,1
sample_106,1
sample_107,1
sample_108,1
sample_109,1
sample_110,1
sample_111,1
sample_112,1
sample_113,1
sample_114,1
sample_115,1
sample_116,1
sample_117,1
sample_118,1
sample_119,1
sample_120,1
sample_121,1
sample_122,1
sample_123,1
sample_124,1
sample_125,1
sample_126,1
sample_127,1
sample_128,1
sample_129,1
sample_130,1
sample_131,1
sample_132,1
sample_133,1
sample_134,1
sample_135,1
sample_136,1
sample_137,1
sample_138,1
sample_139,1
sample_140,1
sample_141,1
sample_142,1
sample_143,1
sample_144,1
sample_145,1
sample_146,1
sample_147,1
sample_148,1
sample_149,1
sample_150,1
sample_151,1
sample_152,1
sample_153,1
sample_154,1
sample_155,1
sample_156,1
sample_157,1
sample_158,1
sample_159,1
sample_160,1
sample_161,1
sample_162,1
sample_163,1
sample_164,1
sample_165,1
sample_166,1
sample_167,1
sample_168,1
sample_169,1
sample_170,1
sample_171,1
sample_172,1
sample_173,1
sample_174,1
sample_175,1
sample_176,1
sample_177,2
sample_178,2
sample_179,2
sample_180,2
sample_181,2
sample_182,2
sample_183,2
sample_184,2
sample_185,2
sample_186,2
sample_187,2
sample_188,2
sample_189,2
sample_190,2
sample_191,2
sample_192,2
sample_193,2
sample_194,2
sample_195,2
sample_196,2
sample_197,2
sample_198,2
sample_199,2
sample_200,2
sample_201,2
sample_202,2
sample_203,2
sample_204,2
